ZIP_CODE,COUNTY,Y,STORE_TYPE,CITY,Ï»¿X,LATITUDE,ADDITONAL_ADDRESS,INCENTIVE_PROGRAM,GRANTEE_NAME,STORE_NAME,STATE,OBJECTID,STORE_STREET_ADDRESS,RECORD_ID,ZIP4,LONGITUDE,FOOD_COMPOSITE_KEY,TAX_OBJ_ID,ACCOUNT_NUM,APPRAISAL_YR_x,BLDG_CLASS_DESC,YEAR_BUILT,REMODEL_YR,GROSS_BLDG_AREA,FOUNDATION_TYP_DESC,FOUNDATION_AREA,BASEMENT_DESC,BASEMENT_AREA,NUM_STORIES,CONSTR_TYP_DESC,HEATING_TYP_DESC,AC_TYP_DESC,NUM_UNITS,NET_LEASE_AREA,PROPERTY_NAME,PROPERTY_QUAL_DESC,PROPERTY_COND_DESC,PHYS_DEPR_PCT,FUNCT_DEPR_PCT,EXTRNL_DEPR_PCT,TOT_DEPR_PCT,IMP_VAL,LAND_VAL,MKT_VAL,APPR_METHOD_DESC,COMPARABILITY_CD,PCT_COMPLETE,APPRAISAL_YR_y,DIVISION_CD,BIZ_NAME,OWNER_NAME1,OWNER_NAME2,EXCLUDE_OWNER,OWNER_ADDRESS_LINE1,OWNER_ADDRESS_LINE2,OWNER_ADDRESS_LINE3,OWNER_ADDRESS_LINE4,OWNER_CITY,OWNER_STATE,OWNER_ZIPCODE,OWNER_COUNTRY,STREET_NUM,STREET_HALF_NUM,FULL_STREET_NAME,BLDG_ID,UNIT_ID,PROPERTY_CITY,PROPERTY_ZIPCODE,MAPSCO,NBHD_CD,LEGAL1,LEGAL2,LEGAL3,LEGAL4,LEGAL5,DEED_TXFR_DATE,GIS_PARCEL_ID,PHONE_NUM,LMA,IMA,SNAP_COMPOSITE_KEY
75220,DALLAS,3879481.02672337,Convenience Store,DALLAS,-10785167.8261225,32.880711,,,,7-Eleven Store 22889,TX,367.0,10998 HARRY HINES BLVD,1422850.0,1316,-96.884811,10998 HARRY HINES BLVD DALLAS,006468000A01A0000,006468000A01A0000,2024.0,CONVENIENCE STORE,2020.0,2020.0,3168.0,CONCRETE SLAB,3168.0,NONE,0.0,1.0,D-WOOD FRAME,CENTRAL HEAT,CENTRAL A/C,1.0,10140.0,7-ELEVEN,GOOD,EXCELLENT,4.0,0.0,0.0,4.0,,,,COST,A CLASS,1.0,2024.0,COM,7-ELEVEN,RIVERSIDE CAMARILLO TX &,,N,,10877 WILSHIRE BLVD STE 1105,,,LOS ANGELES,CALIFORNIA,900244368.0,UNITED STATES OF AMERICA,10998.0,,HARRY HINES BLVD,,,DALLAS,         ,23-N (DALLAS),UNASSIGNED,SEVEN ELEVEN 22889 PHASE 1,BLK A/6468 LT 1A ACS 0.739,,INT201000000724 DD12302009 CO-DC,6468 A00   00100      0DA6468 A00,11/30/2017,006468000A01A0000,,1DSF05,361200,10998 HARRY HINES BLVD DALLAS
75247,DALLAS,3873586.48802408,Convenience Store,DALLAS,-10783978.043405,32.836231,,,,Regal Row Chevron,TX,368.0,1607 REGAL ROW,1628630.0,3621,-96.874123,1607 REGAL ROW DALLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75061,DALLAS,3871758.16472083,Convenience Store,IRVING,-10797314.5636799,32.82243,,,,7-Eleven 27644,TX,634.0,801 N BELT LINE RD,945902.0,6317,-96.993927,801 N BELT LINE RD IRVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75180,DALLAS,3861935.70573169,Convenience Store,BALCH SPRINGS,-10756943.1031904,32.748249,,,,Big Five,TX,870.0,1499 S PEACHTREE RD,1397596.0,1101,-96.631264,1499 S PEACHTREE RD BALCH SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75228,DALLAS,3876008.6160788,Convenience Store,DALLAS,-10759002.6250896,32.854511,,,,Store T-24,TX,947.0,11740 FERGUSON RD,1628627.0,8202,-96.649765,11740 FERGUSON RD DALLAS,0085790F000020000,0085790F000020000,2024.0,RETAIL STRIP,1973.0,1973.0,8200.0,CONCRETE SLAB,8200.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,1.0,8200.0,STRIP SHOP CENTER (72% OCC),AVERAGE,AVERAGE,60.0,0.0,0.0,60.0,,,,INCOME,C CLASS,1.0,2024.0,COM,STRIP SHOP CENTER (72% OCC),CENTURY FERGUSON LLC,,N,,PO BOX 863975,,,PLANO,TEXAS,750863975.0,UNITED STATES OF AMERICA,11740.0,,FERGUSON RD,,,DALLAS,752288202,39-C (DALLAS),UNASSIGNED,NEW WORLD FOURTH INST,BLK F/8579 LT 2 LESS ROW,ACS 0.9328,INT20070000721 DD01012007 CO-DC,8579 F00   00200      3DA8579 F00,01/02/2007,0085790F000020000,,1DSG18,360800,11740 FERGUSON RD DALLAS
75206,DALLAS,3873089.66892408,Convenience Store,DALLAS,-10772396.9201803,32.832481,,,,7-Eleven 12137,TX,970.0,3702 GREENVILLE AVE,939647.0,5312,-96.770088,3702 GREENVILLE AVE DALLAS,00000237889000000,00000237889000000,2024.0,CONVENIENCE STORE,1960.0,1960.0,2551.0,CONCRETE BEAM,2551.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,2551.0,7 ELEVEN,AVERAGE,AVERAGE,80.0,0.0,0.0,80.0,,,,COST,C CLASS,1.0,2024.0,COM,7 ELEVEN,GREENVILLE PENROSE LP,,N,%TAX DPT # 12137,PO BOX 711,,,DALLAS,TEXAS,752210711,UNITED STATES OF AMERICA,3702.0,,GREENVILLE AVE,,,DALLAS,752065312,36-K (DALLAS),UNASSIGNED,MAJORS & C MAJORS RESUBD,BLK 2/2889 LTS A & B,,VOL98186/3398 DD092398 CO-DALLAS,2889 002   00A00      1002889 002,09/23/1998,00000237889000000,,1DSH13,360900,3702 GREENVILLE AVE DALLAS
75211,DALLAS,3860217.70618223,Convenience Store,DALLAS,-10784787.336103,32.735268,Ste 100,,,Pay Low Food Beer & Wine,TX,1148.0,3701 W CLARENDON DR,1635014.0,4937,-96.881393,3701 W CLARENDON DR DALLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75243,DALLAS,3883312.47203319,Other,DALLAS,-10769467.6590995,32.909611,Ste 1,,,Abyssinia Market No,TX,1149.0,9191 FOREST LN,1627006.0,8933,-96.743774,9191 FOREST LN DALLAS,00000810971200000,00000810971200000,2024.0,RETAIL STRIP,1977.0,1977.0,17176.0,CONCRETE SLAB,17176.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,16961.0,C STORE/K.S. BEAUTY SUPPLY,AVERAGE,AVERAGE,0.0,0.0,0.0,0.0,,,,INCOME,B CLASS,1.0,2024.0,COM,C STORE/K.S. BEAUTY SUPPLY,MANGRIN CORP,,N,C/O THE GRINNAN COMPANIES,2255 RIDGE RD STE 208,,,ROCKWALL,TEXAS,750875146,UNITED STATES OF AMERICA,9191.0,,FOREST LN,,,DALLAS,752436239,16-Z (DALLAS),UNASSIGNED,FOREST NORTH INDUSTRIAL PARK,BLK 8411 LT 6,,                            CO-DC,8411 000   00600      3DA8411 000,,00000810971200000,,1DSD06,361000,9191 FOREST LN DALLAS
75042,DALLAS,3884269.99831126,Grocery Store,GARLAND,-10763250.0202608,32.916832,Ste 100,,,Cherry Grocery Store,TX,1151.0,3801 W WALNUT ST,1397707.0,6258,-96.68792,3801 W WALNUT ST GARLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75081,DALLAS,3888090.40545324,Convenience Store,RICHARDSON,-10765759.6068612,32.945637,,,,Ez Trip Food Store #22,TX,1152.0,1031 FRANCES WAY,1421329.0,4340,-96.710464,1031 FRANCES WAY RICHARDSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75038,DALLAS,3877699.23382367,Grocery Store,IRVING,-10795945.4452627,32.867268,,,,Abyssinia Market Irving ,TX,1468.0,4010 N BELT LN RD,1627332.0,    ,-96.981628,4010 N BELT LN RD IRVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75206,DALLAS,3869805.75863185,Convenience Store,DALLAS,-10772403.7106692,32.80769,,,,Highland Food Store,TX,1597.0,1406 GREENVILLE AVE,948561.0,7703,-96.770149,1406 GREENVILLE AVE DALLAS,00000120316000100,00000120316000100,2024.0,RETAIL STRIP,1979.0,1979.0,4560.0,CONCRETE BEAM,4560.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,2.0,4560.0,HIGHLAND FOOD STORE/XPRESS LAUNDRY,AVERAGE,GOOD,0.0,0.0,0.0,0.0,,,,INCOME,A CLASS,1.0,2024.0,COM,HIGHLAND FOOD STORE/XPRESS LAUNDRY,BILLWILL PROPERTIES LLC,,N,,3104 SPRING GROVE DR,,,PLANO,TEXAS,750253969,UNITED STATES OF AMERICA,1406.0,,GREENVILLE AVE,,,DALLAS,752067703,36-X (DALLAS),UNASSIGNED,ALTA VISTA,BLK G/679 PT LT 1 & LTS 2 & 3,ACS 0.4975,INT20070270312 DD07132007 CO-DC,0679 00G   00100      1000679 00G,07/27/2007,00000120316000100,,1DSI10,360900,1406 GREENVILLE AVE DALLAS
75206,DALLAS,3869805.75863185,Convenience Store,DALLAS,-10772403.7106692,32.80769,,,,Highland Food Store,TX,1597.0,1406 GREENVILLE AVE,948561.0,7703,-96.770149,1406 GREENVILLE AVE DALLAS,00000120316000000,00000120316000000,2024.0,LAND ONLY,0.0,0.0,0.0,UNASSIGNED,0.0,UNASSIGNED,0.0,0.0,UNASSIGNED,UNASSIGNED,UNASSIGNED,0.0,0.0,VACANT LAND,UNASSIGNED,UNASSIGNED,0.0,0.0,0.0,0.0,,,,COST,UNASSIGNED,0.0,2024.0,COM,VACANT LAND,HERNANDEZ JOSEPH SEBASTIAN,,N,,2857 KIRVEN ST,,,DALLAS,TEXAS,752277223,UNITED STATES OF AMERICA,1406.0,,GREENVILLE AVE,,,DALLAS,752067703,36-X (DALLAS),UNASSIGNED,ALTA VISTA,BLK G/679 PT LOT 1 ACS 0.0026,GREENVILLE & BRYAN PARKWAY,INT202000020838 DD01152020 CO-DC,0679 00G   00100      1000679 00G,01/23/2020,00000120316000000,,1DSI10,UNASSIGNED,1406 GREENVILLE AVE DALLAS
75201,DALLAS,3865819.56411032,Other,DALLAS,-10774616.1855487,32.777588,Unit 162,,,Kelley Produce Dfm,TX,1878.0,920 S HARWOOD,1627921.0,    ,-96.790024,920 S HARWOOD DALLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75217,DALLAS,3858242.99742815,Convenience Store,DALLAS,-10760333.449602,32.720345,,,,Dearl's Grocery ,TX,1880.0,9223 ELAM RD,1320891.0,4152,-96.66172,9223 ELAM RD DALLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75041,DALLAS,3879072.36879751,Convenience Store,GARLAND,-10756911.5997745,32.877628,Ste 200,,,Chill Zone Beer & Wine,TX,1997.0,3115 S 1ST ST,1395157.0,3424,-96.630981,3115 S 1ST ST GARLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75238,DALLAS,3877472.73498549,Super Store,DALLAS,-10764772.7595753,32.865559,Ste 300,,,KROGER 511,TX,2496.0,10677 E NORTHWEST HWY,255060.0,4899,-96.701599,10677 E NORTHWEST HWY DALLAS,007081000B01B0001,007081000B01B0000,2024.0,RETAIL STRIP,1983.0,1983.0,36538.0,CONCRETE SLAB,18269.0,NONE,0.0,2.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,0.0,NORTHVIEW PLAZA,GOOD,GOOD,10.0,0.0,0.0,10.0,,,,INCOME,C CLASS,1.0,2024.0,COM,NORTHVIEW PLAZA / KROGER,WF NORTHVIEW PLAZA LLC &,,N,C/O WESTWOOD FINANCIAL,5500 GREENVILLE AVE STE 60,,,DALLAS,TEXAS,752062941.0,UNITED STATES OF AMERICA,10677.0,,E NORTHWEST HWY,,,DALLAS,752384812,28-W (DALLAS),UNASSIGNED,NORTHVIEW PLAZA REPLAT,BLK B/7081 LOT 1B ACS 7.3292,,INT202300147791 DD07242023 CO-DC,7081 00B   01B00      7DA7081 00B,01/17/2024,007081000B01B0000,,1DSG14,360800,10677 E NORTHWEST HWY DALLAS
75238,DALLAS,3877472.73498549,Super Store,DALLAS,-10764772.7595753,32.865559,Ste 300,,,KROGER 511,TX,2496.0,10677 E NORTHWEST HWY,255060.0,4899,-96.701599,10677 E NORTHWEST HWY DALLAS,007081000B01B0002,007081000B01B0000,2024.0,SUPERMARKET,1991.0,1991.0,58894.0,CONCRETE SLAB,58894.0,NONE,0.0,2.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,0.0,NORTHVIEW PLAZA,GOOD,GOOD,10.0,0.0,0.0,10.0,,,,INCOME,C CLASS,1.0,2024.0,COM,NORTHVIEW PLAZA / KROGER,WF NORTHVIEW PLAZA LLC &,,N,C/O WESTWOOD FINANCIAL,5500 GREENVILLE AVE STE 60,,,DALLAS,TEXAS,752062941.0,UNITED STATES OF AMERICA,10677.0,,E NORTHWEST HWY,,,DALLAS,752384812,28-W (DALLAS),UNASSIGNED,NORTHVIEW PLAZA REPLAT,BLK B/7081 LOT 1B ACS 7.3292,,INT202300147791 DD07242023 CO-DC,7081 00B   01B00      7DA7081 00B,01/17/2024,007081000B01B0000,,1DSG14,360800,10677 E NORTHWEST HWY DALLAS
75238,DALLAS,3877472.73498549,Super Store,DALLAS,-10764772.7595753,32.865559,Ste 300,,,KROGER 511,TX,2496.0,10677 E NORTHWEST HWY,255060.0,4899,-96.701599,10677 E NORTHWEST HWY DALLAS,007081000B01B0000,007081000B01B0000,2024.0,RETAIL STRIP,1991.0,1991.0,25425.0,CONCRETE SLAB,25425.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,113903.0,NORTHVIEW PLAZA / KROGER,GOOD,GOOD,10.0,0.0,0.0,10.0,,,,INCOME,B CLASS,1.0,2024.0,COM,NORTHVIEW PLAZA / KROGER,WF NORTHVIEW PLAZA LLC &,,N,C/O WESTWOOD FINANCIAL,5500 GREENVILLE AVE STE 60,,,DALLAS,TEXAS,752062941.0,UNITED STATES OF AMERICA,10677.0,,E NORTHWEST HWY,,,DALLAS,752384812,28-W (DALLAS),UNASSIGNED,NORTHVIEW PLAZA REPLAT,BLK B/7081 LOT 1B ACS 7.3292,,INT202300147791 DD07242023 CO-DC,7081 00B   01B00      7DA7081 00B,01/17/2024,007081000B01B0000,,1DSG14,360800,10677 E NORTHWEST HWY DALLAS
75149,DALLAS,3867301.48378806,Super Store,MESQUITE,-10753364.0702419,32.78878,,,,Walmart Supercenter 789,TX,2647.0,200 US HIGHWAY 80 E,250180.0,1656,-96.599113,200 US HIGHWAY 80 E MESQUITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75080,DALLAS,3890369.71408364,Discount Retail,RICHARDSON,-10768669.3870311,32.962818,Ste 105,,,DOLLAR GENERAL 3560,TX,2692.0,531 W ARAPAHO RD,250604.0,4344,-96.736603,531 W ARAPAHO RD RICHARDSON,42114500000020000,42114500000020000,2024.0,RETAIL STRIP,1962.0,2001.0,17557.0,CONCRETE SLAB,17557.0,NONE,0.0,1.0,"C-MASONRY, BLOCK, TILT-WALL",CENTRAL HEAT,CENTRAL A/C,0.0,17557.0,NORTHRIDGE VILLAGE SC,AVERAGE,GOOD,0.0,0.0,0.0,0.0,,,,INCOME,C CLASS,1.0,2024.0,COM,NORTHRIDGE VILLAGE SC,CENTURY ARAPAHO LLC,,N,,PO BOX 863975,,,PLANO,TEXAS,750863975,UNITED STATES OF AMERICA,531.0,,W ARAPAHO RD,,,RICHARDSON,750804344,7-W (DALLAS),UNASSIGNED,NORTHRICH VILLAGE,BLK A LT 2 LESS ROW ACS 1.7611,,INT20080001011 DD01012008 CO-DC,1145000000200         2CR11450000,01/02/2008,42114500000020000,,3RSC02,362600,531 W ARAPAHO RD RICHARDSON
75042,DALLAS,3884489.99772677,Super Store,GARLAND,-10762875.4301743,32.918491,Ste 221,,,NEW TRUONG NGUYEN MARKET,TX,2928.0,3555 W WALNUT ST,244478.0,4016,-96.684555,3555 W WALNUT ST GARLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75050,DALLAS,3861697.86281094,Discount Retail,GRAND PRAIRIE,-10799854.8744598,32.746452,,,,DOLLAR GENERAL 4515,TX,2939.0,508 N CARRIER PKWY,244599.0,5428,-97.016747,508 N CARRIER PKWY GRAND PRAIRIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75104,DALLAS,3842590.66299662,Super Store,CEDAR HILL,-10790679.8107092,32.601971,,,,Target T 1836,TX,2992.0,739 N HIGHWAY 67,245243.0,2142,-96.934326,739 N HIGHWAY 67 CEDAR HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
